Iteration,Master_LB,Oracle_UB,Optimality_Gap,Active_Count
1,1.7115333919730222,4.49119839252511,2.7796650005520878,1
2,2.2604763276896667,5.182017248996175,2.921540921306508,2
3,3.3220640520766267,3.6062815946376947,0.2842175425610681,3
4,3.329870584414337,3.468132719365368,0.138262134951031,4
5,3.339943048988804,3.3587950000925884,0.01885195110378421,5
6,3.3475095749725536,3.3475095749725554,2.0816681711721685e-15,6
