Multiplier,Avg_Active_States,Avg_Worst_CVaR
0.5,3.7,4.546306383333703
0.75,3.5,4.477968543288353
1.0,3.8,4.449312742066879
1.5,3.65,4.3403102706698276
2.0,3.15,4.2656100518058615
