Benchmark,Sharpe_Diff,Std_Error,CI_Lower_95,CI_Upper_95,P_Value
NominalCVaR,-0.0711155154736981,0.06570379001966822,-0.19862706304631148,0.05708318060813544,0.2814
1/N,0.0891798547680448,0.09277843204039408,-0.10347507674012066,0.25872918463954053,0.3278
MinVar,-0.0586197915160841,0.0680947017796291,-0.20200651362412678,0.06571301727673926,0.384
FiniteRegime,-0.09168989210823941,0.06126675211406065,-0.21549630694878705,0.026253004902133305,0.1316
