Method,Active_States,Runtime_sec,L1_Distance_to_Dense41,Dispersion_Radius_rho,Lipschitz_Certificate_Lrho
Adaptive SIP (21x21 oracle),6,0.6466729640960693,1.4000000000000004,0.03189124684577412,1350.9782107695241
"Dense Grid (21x21, 441 states)",441,21.61828899383545,0.0,0.03189124684577412,1350.9782107695241
"Dense Grid (41x41, 1681 states)",1681,45.03304409980774,0.0,0.01594562342288706,675.4891053847621
