Window,Active_States,ESS
1,4,74.63561230083627
2,4,74.51204819142254
3,4,70.21765425628271
4,4,92.34723321682294
5,4,96.5258626321155
6,4,81.4573367801398
7,4,123.6810002901513
8,4,114.62640345478546
9,4,107.0475725238925
10,5,97.21702013870069
11,9,87.06952530736808
12,8,93.5439685472582
13,9,84.6413268681688
14,6,99.97465243268778
15,8,68.80876324842845
16,5,56.88270492868104
17,8,63.13092690377667
18,5,61.42120169038414
19,8,64.92299761917558
20,5,39.06735951769058
21,5,56.89688249869796
22,5,65.37674135660694
23,5,68.4445189300194
24,5,64.06579424428558
25,5,48.190147002882966
26,5,42.93113503489912
27,6,42.93723265126723
28,6,37.96369694786303
29,6,45.48723762508167
30,6,52.995294240259476
31,7,50.61518167385032
32,6,51.763648218607734
33,6,39.532441519555704
34,7,57.58708394925542
35,5,50.89822883683891
36,2,16.122312339633684
37,2,21.210295038516485
38,2,42.51472913743633
39,2,100.31060248350735
40,2,74.1624340257167
41,2,38.33325939646684
42,2,43.17830138194175
43,3,54.74971986397859
44,1,66.24081986984852
45,3,33.98882513169051
46,1,8.578349361456167
47,2,20.89182689028815
48,2,97.14582405137861
49,2,139.70789370000458
50,2,42.723894036283504
51,2,48.895922596048486
52,2,96.90433269312122
53,2,99.75079052553252
54,2,54.280362527798175
55,2,56.147552728584635
56,2,85.58558791423886
57,2,91.22787949421507
58,2,15.605129665107944
59,2,29.636960399053034
60,2,142.88373351535495
61,2,153.861992145964
62,2,108.85958997113822
63,2,28.33494689723954
64,2,159.3195579587425
65,3,81.39145472017911
66,2,91.20071190172607
67,2,122.4447384001993
68,2,155.78802051391477
69,2,116.18286570520058
70,2,125.05458476798788
71,2,96.35971614573677
72,3,46.469676129622314
73,3,72.97010748025268
74,2,111.03053959029562
75,2,117.2181267185396
76,3,29.702212903120355
77,3,83.59975907602245
78,3,112.44614696355247
79,3,34.01072800414187
80,2,36.31456077098976
81,3,47.41568679277842
82,3,17.07139733808222
83,4,31.279893831058338
84,3,84.47705109214672
85,3,112.79506527123418
86,3,135.06276290997778
87,4,83.10503795103489
88,4,87.24545349788774
89,4,100.44954854379259
90,4,76.73030765404789
91,4,31.006296906613112
92,3,26.374153674889367
93,4,28.785032881840834
94,5,28.054418257849107
95,6,40.95559036235987
96,4,56.72036267022016
97,5,49.88191944098907
98,7,45.82545175678506
99,6,33.145522581068
100,6,42.54303159851334
101,6,59.16094136382649
102,6,59.993288953791485
103,6,51.83694817481125
104,6,70.55414545503052
105,6,54.774313939864406
106,7,93.75218678773497
107,6,46.89134122740654
108,7,42.38163783592602
109,8,60.33615107805446
110,5,48.0328152669593
111,7,32.45972160426137
112,6,57.23382699660144
113,6,47.282588637686096
114,6,48.13545830511851
115,7,51.25294821035627
116,6,45.06660806691963
117,7,48.9142493831374
118,6,45.23051157011107
119,6,69.26445094747139
120,6,49.432523360118715
121,6,54.137463549963144
122,6,43.650279515612965
123,6,49.401368899188604
124,8,49.128627911484045
125,6,42.35270066691631
126,7,50.32902654861757
127,7,51.795811622931765
128,7,56.000632240112076
129,7,70.58903305658123
130,7,60.33040318235317
131,6,84.17405825857283
132,5,84.57797010539282
133,5,88.66541288775883
134,7,77.0614454447617
135,7,72.24454215952936
136,7,72.75468119827705
137,6,84.09198040394847
138,5,104.56685763356809
139,6,69.9789406787526
140,6,52.610720508943494
141,6,103.59524309834437
142,8,62.77706342958747
143,7,67.3836851076579
144,7,58.24022196302788
145,7,75.82043288880821
146,7,51.041357874124344
147,7,43.26288376374375
148,7,72.98551644123073
149,7,74.9019987791862
150,7,76.61403339257315
151,7,51.78562631633015
152,8,27.69083380357521
153,4,31.802700248863992
154,5,57.97436177214608
155,4,40.230850704333804
156,4,30.67266720286974
157,4,32.73453078394765
158,4,25.33059290012046
159,3,14.475784635963246
160,5,40.807447846797075
161,9,48.45048409263917
162,7,43.72382963271217
163,3,33.9604386909845
164,5,38.35228418636866
165,5,49.09772795162606
166,2,4.291516031564525
167,1,6.685408420931277
168,2,10.895339363011374
