Date,1/N_Ret,1/N_TO,MinVar_Ret,MinVar_TO,NominalCVaR_Ret,NominalCVaR_TO,FiniteRegime_Ret,FiniteRegime_TO,RobustSIP_Ret,RobustSIP_TO
1995-01-26,0.009500128180247591,0.0,0.015140081476886821,0.6668208800145878,0.015694620570848656,0.6782737344385541,0.018086219763615838,0.6933306565181782,0.013719746948162359,0.7581673551774192
1995-02-27,0.02783953753085662,0.007357245035908823,0.0334305544688972,0.09707187262286807,0.03158574167229113,0.06654193280828449,0.03228263690451788,0.11442181529713776,0.02373078475940424,0.11139992283695671
1995-03-28,0.034710462819809836,0.011834990940368223,0.03496850921212956,0.09833361403601057,0.037684468524625765,0.09709418133457354,0.03419535468225892,0.07574252922988092,0.03061908410068787,0.2155202922360885
1995-04-27,0.01731790295003683,0.011631073101250684,0.026493104548493084,0.08639649103979821,0.026207070297092086,0.09929065681062119,0.02108711150434477,0.0432770936006997,0.031493770094618984,0.21752446911779813
1995-05-26,0.020611429779687298,0.009815611379279145,0.021845547963524333,0.07942183292597808,0.021230756606302054,0.11207272759680752,0.023177669569761996,0.04219265553548672,0.02595699978113411,0.13344695531366904
1995-06-27,0.029888484926209154,0.007736535886540531,0.02223532389282037,0.031958529993247255,0.021086626368804772,0.07798111001021694,0.024819565140699537,0.01617782804337734,0.025871169768658036,0.008016301537199573
1995-07-27,0.04771100191083115,0.01015122670140418,0.031150301620236454,0.06337395701406665,0.03301922305507652,0.1093091414903437,0.026847025802742792,0.03309446055698691,0.054843160229448025,0.11804043785167517
1995-08-25,0.003687411213402977,0.013986073376895928,0.005834761978888346,0.11307602838959274,0.0069880957282293,0.11977054972115796,0.007911289002786466,0.08930142802622774,0.008203220826180286,0.09474826753454287
1995-09-26,0.02124982035912391,0.010485390183573712,0.02821896754370796,0.11252086058137911,0.035701883712426684,0.1487906961200387,0.041980924409083166,0.16987100401701924,0.02622857937066191,0.5703968718072754
1995-10-25,-0.01786598735864784,0.014859833370440072,-0.0035644048553704778,0.1351768297397514,0.0005599024312671435,0.20005355969831168,0.001331529213930445,0.42973616216655364,0.000985856434953524,0.26827299679521666
