Window_Idx,Train_Start,Train_End,Hold_Start,Hold_End,Multiplier,Runtime,Active_States,Worst_CVaR
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,1.0,0.2833521366119385,4,3.7493722809453804
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,1.5,0.31314992904663086,4,2.476683659659482
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,1.5,0.5147559642791748,5,1.5212201633364317
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,1.5,0.09491109848022461,2,3.065941074146162
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,1.5,0.1107330322265625,2,3.497169333969085
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,1.5,0.10270404815673828,2,3.2712863849960665
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,1.5,0.35802412033081055,4,3.250444754306101
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,1.5,1.6547658443450928,9,2.8344949828879846
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,1.5,0.9744889736175537,7,2.717592999599976
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,1.5,0.2787778377532959,4,2.491888487646963
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,1.5,0.18607497215270996,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,1.5,0.19510483741760254,3,6.265782887349617
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,1.5,0.18270206451416016,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,1.5,0.1284799575805664,2,4.047942308526207
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,1.5,0.1047208309173584,2,4.225991214482147
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,1.5,0.16621708869934082,3,2.948287795052032
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,1.5,0.0959169864654541,2,2.9368950654111057
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,1.5,0.11686205863952637,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,1.5,0.11647796630859375,2,8.686230181792087
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,1.5,0.1989459991455078,3,8.623408236018808
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,1.5,0.4713859558105469,5,3.554126466422374
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,2.0,0.3509049415588379,4,2.471072629911393
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,2.0,0.40219688415527344,4,1.4933841156375542
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,2.0,0.11987090110778809,2,2.622526435438555
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,2.0,0.14046502113342285,2,3.4971708753916837
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,2.0,0.11081981658935547,2,3.2712873218222165
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,2.0,0.4040348529815674,4,3.1439173753693392
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,2.0,1.8180038928985596,7,2.7290864274184075
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,2.0,0.9892289638519287,6,2.7066737611870217
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,2.0,0.31365013122558594,4,2.4923813162756105
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,2.0,0.3215219974517822,4,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,2.0,0.31298089027404785,4,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,2.0,0.304257869720459,4,6.265782887349619
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,2.0,0.11657214164733887,2,3.7632062925366783
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,2.0,0.22102904319763184,3,3.9121261477134626
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,2.0,0.09422683715820312,2,2.924510693285547
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,2.0,0.10250997543334961,2,2.9188757765994535
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,2.0,0.11351394653320312,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,2.0,0.11802887916564941,2,8.686230181792089
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,2.0,0.1362769603729248,2,8.623408236018808
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,2.0,0.36310601234436035,4,3.256967528446099
