Strategy,Ann_Mean,Ann_Vol,Sharpe,Sortino,CVaR_95_Monthly,CVaR_99_Monthly,Max_DD,CAGR,Calmar,Avg_Turnover,TC_Drag,Eff_N,Worst_Month,Final_Wealth
1/N,0.12238195322184801,0.17002923277345888,0.7197700726257203,1.1273809245335595,0.11378475038317733,0.18103793805941906,-0.5578686953310255,0.11343566787252524,0.20333757535044214,0.016851096540482318,0.00020221315848578783,30.0,-0.2040682396036681,29.245753534261166
MinVar,0.10646328744010253,0.12271438838815134,0.8675697189098492,1.325500208054986,0.0828114835593638,0.13388764479846774,-0.4018425491501988,0.1034737774240202,0.2574983103278699,0.06755722892693723,0.0008106867471232469,8.151299126671963,-0.1529467356068925,22.051596652788575
NominalCVaR,0.10764065102923276,0.12230982582217274,0.8800654428674634,1.3512737529182797,0.081363567928664,0.12348732707633125,-0.35763295365527936,0.10482597168271135,0.2931104939053032,0.08227543055248376,0.0009873051666298052,7.9175419028882,-0.15423064740503184,22.916549917985733
FiniteRegime,0.11146393537171789,0.12376083419601658,0.9006398195020047,1.3963085929267764,0.08053064918667524,0.12618245656008728,-0.3676379532078893,0.1088338091438481,0.29603529285863894,0.08781723396692828,0.0010538068076031393,7.571634513881906,-0.15147316572575154,25.677610107207613
RobustSIP,0.11281453426523172,0.13945799417856677,0.8089499273937651,1.2186079015418119,0.0945001273962503,0.14785471669692637,-0.4170431381504003,0.10798078890733853,0.2589199510300944,0.09480438162127529,0.0011376525794553035,7.363784764202214,-0.1899286192080999,25.064222385083948
