Date,1N,MinVar,NominalCVaR,FiniteRegime,RobustSIP
1994-12-28,-0.0034233333333332228,-0.00032460755282182063,0.0003730009742137774,0.0002078173491801838,-0.001183889465044552
1994-12-29,0.002766692978964702,0.002021837777771429,0.0024958856806223118,0.0016814418887707294,0.005061972747855803
1994-12-30,5.0320618150578866e-5,0.00047077552423879787,0.0005400451020882713,-0.0004242919757829755,0.0008749517160153708
1995-01-03,-0.002374984140501857,-0.004780706516754996,-0.005300914870686846,-0.003321750086990094,-0.008431543075931303
1995-01-04,0.0014394806781081737,-0.0024474736844056766,-0.003067053728586955,-0.0028118915353119167,-0.0012561647972167966
1995-01-05,0.00032080669275957874,-7.149985157972605e-5,0.0004544164791411287,0.000685044649435973,0.0018126484513163454
1995-01-06,0.00140854957268699,0.0006600568427301834,0.0004798596690056556,-0.0004239379589926484,0.004479966357345155
1995-01-09,0.0008280551203014852,-0.0007140799280649368,-0.00031691592692217885,-0.0012820732887109942,0.0026895023157846865
1995-01-10,0.0012026177165189722,0.0034363646964374883,0.0033230447794398987,0.0020088587451041473,0.007026605375036965
1995-01-11,-8.503955701588684e-5,0.0015999818328145121,0.0025232022338941285,0.001727660398646691,0.002846464182687969
1995-01-12,0.0016212193716200751,0.0027526759836451475,0.0018320470477442008,0.0019226299252372847,0.0026087694916063775
1995-01-13,0.006882124796686595,0.004938498956577941,0.004737067515068416,0.005143872016876161,0.005498300557515767
1995-01-16,0.005812322353135002,0.005186920167601139,0.005951256341136357,0.006534520641177988,0.005585154722308028
1995-01-17,0.002770743556235189,0.005105567494839702,0.005415630114951719,0.004807837763287637,0.003533371315523448
1995-01-18,-0.0009552272435233711,0.0006276830005664813,0.0011248843186484336,0.00044496632164414684,0.002711689102055548
1995-01-19,-0.005634270723901769,-0.0029205425398459717,-0.0029709591303498373,-0.0027885896931819643,-0.004516797549946494
1995-01-20,-0.004276005249014503,-0.002270399624166086,-0.0027354652031383875,-0.0010147386630022792,-0.00721555533153273
1995-01-23,-0.000939351367422625,-0.0007499618296891164,-0.0012523906571429988,-7.527137072194101e-6,-0.0035980410856762957
1995-01-24,0.0014676567944804653,0.0009888312204562322,0.0005654541751054509,0.0005151322472982667,0.0013639048022546785
1995-01-25,0.002224918488029637,0.002438217643432994,0.002683851848285901,0.00324999984130514,-0.001182580758147811
1995-01-26,-0.001560037229942357,-0.00018741431455104873,-0.0005259578096609152,0.0018254614229331612,-0.004143350066258988
1995-01-27,0.00138333333333307,0.0011606326563802227,-0.00021767038761721924,0.0016736522996776415,-0.004035018450947114
1995-01-30,-0.004780305577285038,-0.0029796004400832743,-0.003376752148937179,-0.002874226075387676,-0.010187012150445818
1995-01-31,0.001254220427132413,0.0009064416140343035,0.0005896496837192178,0.001162795193054178,0.0017523956635596694
1995-02-01,0.0010093923863985221,0.0007655811564251103,0.0012102823675539387,0.0011819166068081088,0.004482136857852259
1995-02-02,0.004730541957505441,0.004370523442403407,0.0043275434973437665,0.003971299490196367,0.00396338823066178
1995-02-03,0.010052247079869403,0.011240971931840704,0.01022297991921639,0.011502489268514049,0.012245519163969654
1995-02-06,0.005050844706040669,0.0060661394535515,0.005589227012101183,0.004793312859535437,0.004216338582873513
