Window_Idx,Train_Start,Train_End,Hold_Start,Hold_End,Grid_Size,Runtime,Active_States,Worst_CVaR
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,41,0.2631559371948242,2,4.7155
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,21,0.09778499603271484,2,4.7155
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,11,0.11652207374572754,2,4.387889347714211
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,81,0.4693021774291992,3,3.058543760989711
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,41,0.34725213050842285,3,3.0585451980796736
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,21,0.15489912033081055,3,3.058539832418354
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,11,0.15311002731323242,3,3.0585396979997324
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,81,0.6519100666046143,3,3.0536143950442907
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,41,0.22545313835144043,3,3.0536137601678353
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,21,0.16890788078308105,3,3.053613027357429
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,11,0.16993403434753418,3,3.0536130273574273
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,81,0.5834660530090332,2,8.738706428467742
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,41,0.1636209487915039,2,8.73870642846774
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,21,0.11430215835571289,2,8.73870642846774
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,11,0.09986495971679688,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,81,0.6493911743164062,3,8.686230181792089
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,41,0.25456786155700684,3,8.686230181792089
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,21,0.20234394073486328,3,8.686230181792089
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,11,0.11554288864135742,2,8.686230181792089
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,81,0.627514123916626,3,8.623408236018808
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,41,0.26370787620544434,3,8.623408236018808
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,21,0.19471287727355957,3,8.623408236018806
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,11,0.10552692413330078,2,8.623408236018806
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,81,0.8576390743255615,4,3.761233937289996
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,41,0.38626599311828613,4,3.759793224729055
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,21,0.31192898750305176,4,3.7493722809453804
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,11,0.3002309799194336,4,3.6633007848231687
