Block_Length,P_Value,SE
6,0.27014597080583885,0.06552245387566857
9,0.2751449710057988,0.06578949717972524
12,0.28054389122175566,0.06569107985746611
18,0.2429514097180564,0.06181162857860464
24,0.1833633273345331,0.05352119506428447
