Date,Gross_Return_1N,TC_Drag_1N,Net_Return_1N,Cumulative_Net_Wealth_1N,Gross_Return_MinVar,TC_Drag_MinVar,Net_Return_MinVar,Cumulative_Net_Wealth_MinVar,Gross_Return_NominalCVaR,TC_Drag_NominalCVaR,Net_Return_NominalCVaR,Cumulative_Net_Wealth_NominalCVaR,Gross_Return_FiniteRegime,TC_Drag_FiniteRegime,Net_Return_FiniteRegime,Cumulative_Net_Wealth_FiniteRegime,Gross_Return_RobustSIP,TC_Drag_RobustSIP,Net_Return_RobustSIP,Cumulative_Net_Wealth_RobustSIP
1995-01-26,0.009500128180247591,0.0,0.009500128180247591,1.0095001281802476,0.01580690235690141,0.0006668208800145878,0.015140081476886821,1.0151400814768867,0.01637289430528721,0.0006782737344385541,0.015694620570848656,1.0156946205708486,0.018779550420134017,0.0006933306565181782,0.018086219763615838,1.0180862197636158,0.014477914303339778,0.0007581673551774192,0.013719746948162359,1.0137197469481625
1995-02-27,0.027846894775892528,7.357245035908823e-6,0.02783953753085662,1.0376041448861262,0.03352762634152007,9.707187262286807e-5,0.0334305544688972,1.0490767772642604,0.03165228360509942,6.65419328082845e-5,0.03158574167229113,1.0477760884741352,0.03239705871981502,0.00011442181529713775,0.03228263690451788,1.0509527275337378,0.023842184682241196,0.00011139992283695671,0.02373078475940424,1.037776112069347
1995-03-28,0.0347222978107502,1.1834990940368223e-5,0.034710462819809836,1.0736198649788766,0.03506684282616557,9.833361403601058e-5,0.03496850921212956,1.0857614282142567,0.037781562705960337,9.709418133457354e-5,0.037684468524625765,1.0872609735010943,0.0342710972114888,7.574252922988093e-5,0.03419535468225892,1.0868904288060413,0.03083460439292396,0.00021552029223608851,0.03061908410068787,1.0695518661224832
1995-04-27,0.017329534023138082,1.1631073101250684e-5,0.01731790295003683,1.0922127096058123,0.026579501039532882,8.639649103979821e-5,0.026493104548493084,1.114526619246658,0.026306360953902708,9.929065681062118e-5,0.026207070297092086,1.1157548982649221,0.02113038859794547,4.32770936006997e-5,0.02108711150434477,1.1098098084712793,0.03171129456373678,0.00021752446911779813,0.031493770094618984,1.1032360866984154
1995-05-26,0.02062124539106658,9.815611379279144e-6,0.020611429779687298,1.1147247751743345,0.02192496979645031,7.942183292597809e-5,0.021845547963524333,1.1388740639640353,0.02134282933389886,0.00011207272759680752,0.021230756606302054,1.139443218942274,0.023219862225297483,4.219265553548672e-5,0.023177669569761996,1.1355326134973076,0.02609044673644778,0.00013344695531366906,0.02595699978113411,1.1318727855593855
1995-06-27,0.029896221462095696,7.736535886540531e-6,0.029888484926209154,1.1480422098140044,0.022267282422813617,3.1958529993247255e-5,0.02223532389282037,1.1641972976494082,0.02116460747881499,7.798111001021694e-5,0.021086626368804772,1.163470232368578,0.024835742968742913,1.6177828043377343e-5,0.024819565140699537,1.1637160391673929,0.025879186070195237,8.016301537199573e-6,0.025871169768658036,1.1611556585511162
1995-07-27,0.04772115313753256,1.015122670140418e-5,0.04771100191083115,1.2028164538801551,0.03121367557725052,6.337395701406664e-5,0.031150301620236454,1.2004623946166513,0.03312853219656686,0.0001093091414903437,0.03301922305507652,1.2018871154890978,0.026880120263299778,3.309446055698691e-5,0.026847025802742792,1.1949583536979855,0.0549612006672997,0.00011804043785167518,0.054843160229448025,1.2248371043843655
1995-08-25,0.003701397286779873,1.3986073376895929e-5,0.003687411213402977,1.2072517327598582,0.005947838007277939,0.00011307602838959275,0.005834761978888346,1.2074668069538457,0.007107866277950459,0.00011977054972115796,0.0069880957282293,1.210286017706661,0.008000590430812693,8.930142802622775e-5,0.007911289002786466,1.204412014580384,0.00829796909371483,9.474826753454287e-5,0.008203220826180286,1.2348847136277297
1995-09-26,0.021260305749307484,1.0485390183573712e-5,0.02124982035912391,1.2329056152092461,0.02833148840428934,0.00011252086058137911,0.02821896754370796,1.2415402735893808,0.03585067440854672,0.0001487906961200387,0.035701883712426684,1.2534955083696002,0.042150795413100184,0.00016987100401701923,0.041980924409083166,1.2549743443218748,0.026798976242469186,0.0005703968718072754,0.02622857937066191,1.2672739853527315
1995-10-25,-0.0178511275252774,1.4859833370440073e-5,-0.01786598735864784,1.2108785390735117,-0.003429228025630726,0.0001351768297397514,-0.0035644048553704778,1.2371149214100607,0.0007599559909654552,0.00020005355969831168,0.0005599024312671435,1.2541973435523188,0.0017612653760969987,0.00042973616216655363,0.001331529213930445,1.2566453793240726,0.0012541294317487406,0.00026827299679521664,0.000985856434953524,1.2685233355660406
1995-11-24,0.036717046314001855,1.516635875964088e-5,0.03670187995524221,1.255320057854967,0.03472661156348833,0.0003610457245350396,0.03436556583895329,1.2796290756921296,0.03389701786874255,0.0002624075797933501,0.0336346102889492,1.2963817824281363,0.03292052508982035,0.00032173787189692803,0.032598787217923426,1.2976104946530447,0.038506768378438805,0.0007059548572434456,0.03780081352119536,1.3164745496210573
