Benchmark,Sharpe_Diff,Std_Error,CI_Lower_95,CI_Upper_95,P_Value
NominalCVaR,-0.07132845727123516,0.06569107985746611,-0.1992981427595366,0.05690799150013637,0.28054389122175566
1/N,0.08896691297050774,0.0927913859711445,-0.10387004444394021,0.25836594740721563,0.32953409318136373
MinVar,-0.06043841908166092,0.06808966246948418,-0.20944855559736109,0.060210291217765444,0.36572685462907417
FiniteRegime,-0.09190283390577647,0.06125382061776022,-0.21594436755489643,0.0260985385708431,0.1295740851829634
