Benchmark,Sharpe_Diff,SE,CI_L,CI_U,P_val
NominalCVaR,-0.07433274888729202,0.000722764856902974,-0.20372979570514857,0.05765134949232131,0.2571485702859428
1/N,0.08997428829655063,0.0012002518066212852,-0.08062378050371094,0.30559837299900205,0.3139372125574885
MinVar,-0.06723102856109953,0.000748739195059312,-0.19589390340927335,0.07403317005017424,0.3177364527094581
FiniteRegime,-0.0941484891470562,0.0007297050407643717,-0.21377999755553095,0.032997149194117864,0.131373725254949
