Strategy,Ann_Mean,Ann_Vol,Sharpe,Sortino,CVaR_95_Monthly,CVaR_99_Monthly,Max_DD,CAGR,Calmar,Avg_Turnover,TC_Drag,Eff_N,Worst_Month,Final_Wealth
1/N,0.12238195322184801,0.17002923277345888,0.7197700726257203,1.1273809245335595,0.11163728603359026,0.17207052799683256,-0.5578686953310255,0.11343566787252524,0.20333757535044214,0.016851096540482318,0.00020221315848578783,30.0,-0.2040682396036681,29.245753534261166
MinVar,0.10689640661612365,0.12278354957421107,0.8706085382514117,1.3309675274791617,0.08153800357614457,0.12739744809219472,-0.4018425491501988,0.10393873319630331,0.2586553699107,0.06687836886036239,0.0008025404263243487,8.150253259538228,-0.1529467356068925,22.345385541322635
NominalCVaR,0.10764065102923276,0.12230982582217274,0.8800654428674634,1.3512737529182797,0.08001743765117386,0.11840856784622615,-0.35763295365527936,0.10482597168271135,0.2931104939053032,0.08227543055248376,0.0009873051666298052,7.9175419028882,-0.15423064740503184,22.916549917985733
FiniteRegime,0.11146393537171789,0.12376083419601658,0.9006398195020047,1.3963085929267764,0.07919562400025947,0.12040217852571133,-0.3676379532078893,0.1088338091438481,0.29603529285863894,0.08781723396692828,0.0010538068076031393,7.571634513881906,-0.15147316572575154,25.677610107207613
RobustSIP,0.11278384864407692,0.13945677105509016,0.8087369855962281,1.218273637666978,0.09311143828795795,0.1398117451524023,-0.4168774504133401,0.10794728845865076,0.2589424982128907,0.09478852330762708,0.0011374622796915248,7.363904066698649,-0.1899286192080999,25.040424791504154
