ESS_Min,Avg_Retained_States,Avg_Worst_CVaR
0.0,441.0,4.449312742729506
10.0,172.45,4.449195515502572
20.0,118.8,3.7221884068780695
40.0,78.6,2.6945850940972482
60.0,61.35,2.521335300471984
100.0,42.35,2.2628158145088144
