Method,Active_States,Runtime_sec,Worst_CVaR_Decimal,Objective_Gap_to_Adaptive,Distance_to_Adaptive,Distance_to_Dense41,Dispersion_Radius_rho,Lipschitz_Certificate_Lrho
Adaptive SIP (21x21 oracle),5,3.4050910472869873,0.03358435286087367,0.0,0.0,1.4164287853249757,0.03189124684577412,10.603511009571386
"Dense Grid (21x21, 441 states)",441,69.74313187599182,0.03357713940910961,-7.2134517640556894e-6,0.0015337756068707874,1.4148950097181052,0.03189124684577412,10.603511009571386
"Dense Grid (41x41, 1681 states)",1681,148.75527691841125,NaN,NaN,1.4164287853249757,0.0,0.01594562342288706,5.301755504785693
