State_Group,Strategy,CVaR_5,Max_DD,N_Days
Low_VIX,1N,0.011243741950145476,-0.06367282621103887,2619
Low_VIX,MinVar,0.009900208044303136,-0.06700051964134945,2619
Low_VIX,NominalCVaR,0.009953067446468664,-0.055391153625042544,2619
Low_VIX,FiniteRegime,0.010314505455497336,-0.06382009764201324,2619
Low_VIX,RobustSIP,0.010341843109109494,-0.05666403662775721,2619
Med_VIX,1N,0.018075272236528685,-0.36580405829495144,2609
Med_VIX,MinVar,0.01434304637975056,-0.2850672081189327,2609
Med_VIX,NominalCVaR,0.014581502743647496,-0.3110914664112375,2609
Med_VIX,FiniteRegime,0.014788301124059086,-0.3221123198386332,2609
Med_VIX,RobustSIP,0.016303921858628688,-0.3428474127497072,2609
High_VIX,1N,0.025364283785119315,-0.47022019828363526,1900
High_VIX,MinVar,0.01907833889823559,-0.317746394021745,1900
High_VIX,NominalCVaR,0.01920661395185271,-0.3261425315274795,1900
High_VIX,FiniteRegime,0.01948114153367761,-0.31429359427394576,1900
High_VIX,RobustSIP,0.021635078368226507,-0.38766771172652104,1900
Extreme_VIX,1N,0.06098360331246529,-0.9182142780164239,792
Extreme_VIX,MinVar,0.04747816042386995,-0.8516934671077978,792
Extreme_VIX,NominalCVaR,0.04742964940195295,-0.8403851984334219,792
Extreme_VIX,FiniteRegime,0.047609135257735635,-0.8376989823859358,792
Extreme_VIX,RobustSIP,0.04989949637768692,-0.8803812690155162,792
Crisis_DD,1N,0.09515085014457915,-0.5419464629032018,135
Crisis_DD,MinVar,0.07633276782637831,-0.47431376379419754,135
Crisis_DD,NominalCVaR,0.07509812828182888,-0.46288042371551463,135
Crisis_DD,FiniteRegime,0.07618706874988695,-0.46769260966378035,135
Crisis_DD,RobustSIP,0.07811636255899214,-0.4793281455866383,135
