x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,Date
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.006645336671911521,0.0018539748173361833,0.0,0.15,0.0,0.11066457274674875,0.15,0.0,0.13083611576400356,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1995-01-26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05485013707500892,0.0,0.08255401526777373,0.0,0.1446125975557593,0.11798325010145808,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1995-02-27
0.0,0.07325267078417749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.095315444847443,0.0,0.0,0.08419634638114692,0.0,0.14723553798723266,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1995-03-28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010734912663251954,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.11302968137155137,0.13896299509996562,0.0,0.13727241086523095,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1995-04-27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.10488407970074626,0.0,0.0,0.15,0.0,0.12863059718360553,0.15,0.0,0.03131370689979901,0.13517161621584922,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1995-05-26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.10195519558761354,0.0,0.0,0.15,0.0,0.12809822361443537,0.15,0.0,0.03427958979928097,0.13566699099867013,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1995-06-27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.010799380423797423,0.0,0.0,0.15,0.0,0.09874502313967035,0.15,0.0,0.057455641438091704,0.15,0.0,0.0,0.08299995499844065,0.0,0.0,0.15,0.0,1995-07-27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0032655975528120174,0.08545136148657864,0.15,0.0,0.0,0.15,0.012137982372471457,0.0,0.14914505858813806,0.0,0.0,0.15,0.0,1995-08-25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056244042130813625,0.0,0.13659459312036293,0.046642073684472256,0.010519291064351163,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,1995-09-26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05129760769107997,0.06412566258675008,0.0,0.15,0.0,0.05970675101922957,0.07841858055079833,0.15,0.15,0.1464513981521421,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,1995-10-25
0.043268460858841826,0.10324797535149123,0.0,0.0,0.0,0.15,0.005796943021434481,0.0,0.07564427961936551,0.07979728475800954,0.0,0.0,0.0,0.0,0.0,0.08191324677711137,0.03253887504587318,0.055091417068697524,0.0084895432115168,0.15,0.0,0.0,0.0,0.0642119742876585,0.0,0.0,0.0,0.0,0.15,0.0,1995-11-24
0.029815231781598922,0.08074045753148977,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0012426881414419981,0.0,0.0,0.03912941601208245,0.0,0.026905200831710503,0.0436338962613637,0.02617696265286713,0.05365929709556495,0.053005634548273825,0.15,0.045691215143607446,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0,1995-12-26
0.03205042178052013,0.0733692627462624,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.04513574431555081,0.0,0.029830172133373703,0.046830322984831564,0.026787261241368803,0.051098138967460356,0.05857621582101422,0.15,0.05091787446034143,0.0,0.0,0.13540458554927637,0.0,0.0,0.0,0.0,0.15,0.0,1996-01-25
0.05407248931824807,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.031784998582214306,0.0,0.0,0.011809988177799767,0.0,0.07401910732439838,0.015253777120146299,0.033876788729556115,0.07553418112244309,0.06898975120356508,0.15,0.03465891842162904,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0,1996-02-26
0.04124281239923413,0.0013046605693185862,0.0,0.0,0.0,0.15,0.008422221944800693,0.0,0.0,0.015089020239647656,0.0,0.0,0.023694322693168637,0.0,0.06948364910994438,0.039342048074874854,0.028916361543812618,0.055728597441652074,0.0543444807427865,0.15,0.07864629287676413,0.0,0.0,0.13378553236399576,0.0,0.0,0.0,0.0,0.15,0.0,1996-03-26
0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.13421692743568595,0.1279354308212723,0.0,0.0,0.0,0.0,0.0,0.0962782279079768,0.05505916964741973,0.035745912379735116,0.0,0.15,0.10076433180791028,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1996-04-25
0.0,0.07818051979756832,0.0,0.0,0.0,0.15,0.0,0.0,0.09213121330173796,0.0,0.0,0.04030619171864827,0.0,0.0,0.0,0.08112598337998023,0.12251420757530802,0.04499867675063182,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.09074320747612538,0.0,0.0,0.0,0.0,1996-05-24
0.0,0.15,0.0,0.0,0.0,0.09478271568453374,0.0,0.0,0.0,0.0,0.0,0.04460952830640813,0.0,0.0,0.0,0.04058639852046519,0.10958590582554746,0.0799264021060658,0.0,0.15,0.0,0.0,0.10709558238606219,0.07341346717091765,0.0,0.15,0.0,0.0,0.0,0.0,1996-06-25
