Multiplier,Avg_Active_States,Avg_Worst_CVaR
0.5,3.65,4.604570743128351
0.75,3.35,4.560071164889622
1.0,3.35,4.522831176022386
1.5,3.45,4.38428290993848
2.0,3.3,4.302444010268025
