Benchmark,Sharpe_Diff,Std_Error,CI_Lower_95,CI_Upper_95,P_Value
NominalCVaR,-0.07132845727123516,0.06569107985746611,-0.19902491479544185,0.05691402305633711,0.28054389122175566
1/N,0.08896691297050774,0.0927913859711445,-0.10362059042985956,0.25836943093628706,0.32953409318136373
MinVar,-0.06630439341178085,0.06740963257023388,-0.20817966454220904,0.05637183211012145,0.32733453309338134
FiniteRegime,-0.09190283390577647,0.06125382061776022,-0.21565524015865092,0.02610549579661932,0.1295740851829634
