x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,Date
0.005473096297212633,0.15,0.02814709229584119,0.0,0.0,0.0,0.0,0.0,0.04344501126286866,0.0,0.0,0.0,0.0,0.0,0.0,0.02035881372823978,0.1332189785886426,0.0,0.15,0.15,0.0,0.01935700782719515,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,1995-01-26
0.0,0.1437938370573863,0.013364327043923435,0.0,0.0,0.0,0.0,0.0,0.005641188429303898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1039059951348511,0.0,0.15,0.15,0.05314875047778043,0.08014590185675488,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,1995-02-27
0.0,0.12017650003548763,0.042358028573811574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11052487661277335,0.0,0.15,0.15,0.07281800651908532,0.04278791155089683,0.0,0.011334676707945308,0.0,0.15,0.0,0.0,0.15,0.0,1995-03-28
0.0,0.10914430059634724,0.05217669695340301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11474143473504009,0.0,0.15,0.15,0.06942085984451186,0.019165212937430613,0.0,0.03535149493326722,0.0,0.15,0.0,0.0,0.15,0.0,1995-04-27
0.0,0.1001964291516022,0.04003321091040146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171584860040783,0.0,0.15,0.15,0.07000946610361049,0.0,0.0,0.07434350690255324,0.0,0.15,0.0,0.0,0.14825890092775434,0.0,1995-05-26
0.0,0.10989209699158117,0.04128860255288421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11880391074496789,0.0,0.15,0.15,0.0551545897893556,0.0,0.0,0.0748607999212111,0.0,0.15,0.0,0.0,0.15,0.0,1995-06-27
0.0,0.1254829524650796,0.017199186209128543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00677541675189483,0.11632218965907,0.0,0.15,0.15,0.05031895022509842,0.0,0.0,0.08390130468972873,0.0,0.15,0.0,0.0,0.15,0.0,1995-07-27
0.0,0.10347185060176574,0.0015281084629402673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11059009085626025,0.0,0.15,0.15,0.10973584369341978,0.0,0.0259281783954931,0.04874592799012089,0.0,0.15,0.0,0.0,0.15,0.0,1995-08-25
0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05820033153220443,0.06273833385885398,0.0,0.14805145662809163,0.15,0.15,0.020177743706600897,0.0,0.0,0.0,0.15,0.0,0.0,0.11083213427424911,0.0,1995-09-26
0.15,0.10566650794696432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10095039404376936,0.0,0.0,0.0,0.0,0.0,0.06383803620254486,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.1340498702672146,0.0,0.0,0.0,0.0,0.1454951915395069,0.0,1995-10-25
