Window_Idx,Train_Start,Train_End,Hold_Start,Hold_End,Multiplier,Runtime,Active_States,Worst_CVaR
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,1.0,0.14612507820129395,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,1.0,0.0952911376953125,2,4.676982379686421
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,1.0,0.08893203735351562,2,4.7155
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,1.0,0.13753008842468262,3,3.058539832418354
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,1.0,0.1450510025024414,3,3.053613027357429
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,1.0,0.09235501289367676,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,1.0,0.16444087028503418,3,8.686230181792089
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,1.0,0.16019010543823242,3,8.623408236018806
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,1.0,0.27565598487854004,4,3.7493722809453804
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,1.5,0.2993299961090088,4,2.476683659659482
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,1.5,0.47063684463500977,5,1.5212201633364317
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,1.5,0.08685898780822754,2,3.065941074146162
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,1.5,0.10121297836303711,2,3.497169333969085
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,1.5,0.09569787979125977,2,3.2712863849960665
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,1.5,0.34185290336608887,4,3.250444754306101
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,1.5,1.7671010494232178,9,2.8344949828879846
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,1.5,0.9259750843048096,7,2.717592999599976
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,1.5,0.23251104354858398,4,2.491888487646963
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,1.5,0.16756916046142578,3,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,1.5,0.1716759204864502,3,6.265782887349617
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,1.5,0.15605497360229492,3,6.2657828873496175
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,1.5,0.11959290504455566,2,4.047942308526207
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,1.5,0.09471678733825684,2,4.225991214482147
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,1.5,0.14217305183410645,3,2.948287795052032
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,1.5,0.0914151668548584,2,2.9368950654111057
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,1.5,0.10190200805664062,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,1.5,0.10292506217956543,2,8.686230181792087
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,1.5,0.1868140697479248,3,8.623408236018808
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,1.5,0.44365501403808594,5,3.554126466422374
1,1990-01-03,1994-12-27,1994-12-28,1995-01-26,2.0,0.34708619117736816,4,2.471072629911393
2,1991-09-03,1996-08-23,1996-08-26,1996-09-24,2.0,0.37260890007019043,4,1.4933841156375542
3,1993-04-30,1998-04-28,1998-04-29,1998-05-28,2.0,0.1078329086303711,2,2.622526435438555
4,1994-11-28,1999-11-24,1999-11-26,1999-12-27,2.0,0.13936710357666016,2,3.4971708753916837
5,1996-07-26,2001-07-27,2001-07-30,2001-08-27,2.0,0.10449099540710449,2,3.2712873218222165
6,1998-03-30,2003-04-03,2003-04-04,2003-05-05,2.0,0.3620610237121582,4,3.1439173753693392
7,1999-11-26,2004-12-02,2004-12-03,2005-01-03,2.0,1.7280330657958984,7,2.7290864274184075
8,2001-07-30,2006-08-03,2006-08-04,2006-09-01,2.0,0.8982648849487305,6,2.7066737611870217
9,2003-03-06,2008-03-06,2008-03-07,2008-04-07,2.0,0.3328819274902344,4,2.4923813162756105
10,2004-11-03,2009-11-03,2009-11-04,2009-12-03,2.0,0.3186070919036865,4,6.2657828873496175
11,2006-07-06,2011-07-06,2011-07-07,2011-08-04,2.0,0.2981908321380615,4,6.2657828873496175
12,2008-03-07,2013-03-08,2013-03-11,2013-04-09,2.0,0.2877919673919678,4,6.265782887349619
13,2009-10-06,2014-10-07,2014-10-08,2014-11-05,2.0,0.11611509323120117,2,3.7632062925366783
14,2011-06-07,2016-06-08,2016-06-09,2016-07-08,2.0,0.2019641399383545,3,3.9121261477134626
15,2013-02-07,2018-02-07,2018-02-08,2018-03-09,2.0,0.08269286155700684,2,2.924510693285547
16,2014-10-08,2019-10-09,2019-10-10,2019-11-07,2.0,0.0935521125793457,2,2.9188757765994535
17,2016-06-09,2021-06-10,2021-06-11,2021-07-12,2.0,0.09747600555419922,2,8.73870642846774
18,2018-01-09,2023-01-10,2023-01-11,2023-02-09,2.0,0.11110401153564453,2,8.686230181792089
19,2019-09-11,2024-09-12,2024-09-13,2024-10-11,2.0,0.13387489318847656,2,8.623408236018808
20,2021-05-12,2026-05-18,2026-05-19,2026-06-17,2.0,0.33887290954589844,4,3.256967528446099
