Window,Date,StateIdx,logVIX,Drawdown63,Total_Prob,ESS,Tail_ESS,Min_Euclidean_Dist,In_Convex_Hull
1,1994-12-22,88,2.5041692739952985,0.035185476446390446,1.0,91.00177206154214,6.219810931146911,0.008320063724336128,true
1,1994-12-22,386,3.459949913467428,0.0820994450415777,0.9999999999999999,2.280283519098874,1.0,0.03863616809926616,true
1,1994-12-22,415,3.528219959144008,0.17592738223195223,0.9999999999999999,8.709709947192371,1.000000000000482,0.004727166130315727,true
1,1994-12-22,354,3.3234098221142663,0.19938436652954586,1.0,11.835331950503894,1.0000044839189846,0.012760859345623673,true
22,1995-01-24,86,2.5041692739952985,0.011728492148796815,1.0,308.9464658613289,15.257559246175232,0.0022264051503889668,true
22,1995-01-24,415,3.528219959144008,0.17592738223195223,0.9999999999999999,8.484428733264933,1.0000000000004465,0.004727166130315727,true
22,1995-01-24,386,3.459949913467428,0.0820994450415777,1.0,1.5510087141948785,1.0,0.03863616809926616,true
22,1995-01-24,354,3.3234098221142663,0.19938436652954586,1.0,11.742454912473715,1.000004048404223,0.012760859345623673,true
43,1995-02-23,64,2.4358992283187177,0.0,0.9999999999999998,240.15223959475264,14.222723157803461,0.0003422494880016558,true
43,1995-02-23,415,3.528219959144008,0.17592738223195223,1.0,8.329565641485555,1.0,0.004727166130315727,true
43,1995-02-23,386,3.459949913467428,0.0820994450415777,0.9999999999999993,1.4895134968103454,1.0000262125601618,0.03863616809926616,true
43,1995-02-23,354,3.3234098221142663,0.19938436652954586,0.9999999999999998,11.675077736519476,1.0000045642079947,0.012760859345623673,true
64,1995-03-24,64,2.4358992283187177,0.0,0.9999999999999998,257.187428566007,14.927064759639732,0.0003422494880016558,true
64,1995-03-24,415,3.528219959144008,0.17592738223195223,1.0,8.368149309307649,1.0000000000004323,0.004727166130315727,true
64,1995-03-24,386,3.459949913467428,0.0820994450415777,0.9999999999999997,1.490268475737203,1.0,0.03863616809926616,true
64,1995-03-24,354,3.3234098221142663,0.19938436652954586,0.9999999999999998,11.682713259292475,1.0000044224223406,0.012760859345623673,true
85,1995-04-25,85,2.5041692739952985,0.0,0.9999999999999999,313.44834395084933,22.528943443382502,0.0013566629954375742,true
85,1995-04-25,415,3.528219959144008,0.17592738223195223,1.0000000000000002,8.195934458589319,1.0,0.004727166130315727,true
85,1995-04-25,386,3.459949913467428,0.0820994450415777,0.9999999999999998,1.4848692621177986,1.0,0.03863616809926616,true
85,1995-04-25,354,3.3234098221142663,0.19938436652954586,1.0,11.52856191180607,1.0000024482887104,0.012760859345623673,true
106,1995-05-24,64,2.4358992283187177,0.0,1.0000000000000002,284.36640141780384,17.794456783849387,0.0003422494880016558,true
106,1995-05-24,415,3.528219959144008,0.17592738223195223,0.9999999999999999,8.18397590310427,1.0000000000000822,0.004727166130315727,true
106,1995-05-24,386,3.459949913467428,0.0820994450415777,0.9999999999999994,1.4696224877263189,1.0,0.03863616809926616,true
106,1995-05-24,354,3.3234098221142663,0.19938436652954586,1.0,11.419832166906085,1.000001742316803,0.012760859345623673,true
127,1995-06-23,64,2.4358992283187177,0.0,0.9999999999999998,300.3514661200799,20.18086743195784,0.0003422494880016558,true
127,1995-06-23,415,3.528219959144008,0.17592738223195223,1.0000000000000002,8.274698264285535,1.0000000000000577,0.004727166130315727,true
127,1995-06-23,386,3.459949913467428,0.0820994450415777,0.9999999999999996,1.463144003091933,1.0,0.03863616809926616,true
127,1995-06-23,354,3.3234098221142663,0.19938436652954586,0.9999999999999999,11.409206021253587,1.000001627419757,0.012760859345623673,true
148,1995-07-25,106,2.5724393196718793,0.0,1.0,326.8140820507671,22.063761526309225,0.00017291053522638933,true
148,1995-07-25,386,3.459949913467428,0.0820994450415777,0.9999999999999999,1.4583514753645896,1.0,0.03863616809926616,true
148,1995-07-25,415,3.528219959144008,0.17592738223195223,1.0,8.260214070686462,1.0001512668785575,0.004727166130315727,true
148,1995-07-25,354,3.3234098221142663,0.19938436652954586,0.9999999999999999,11.36288088269471,1.0,0.012760859345623673,true
169,1995-08-23,106,2.5705815981746634,0.0,1.0,329.85351776825974,24.56931906818627,0.0005027478543890851,true
169,1995-08-23,277,3.1137696091917633,0.035185476446390446,1.0,17.997359165514407,1.0000002789164832,0.012578812539961142,true
169,1995-08-23,354,3.3174651133231756,0.19938436652954586,1.0,10.277659571871556,1.0,0.014998069294260776,true
169,1995-08-23,357,3.3174651133231756,0.2345698429759363,1.0,4.215124615218269,1.0295400528006844,0.04195327496654405,false
190,1995-09-22,86,2.5026830967975258,0.011728492148796815,1.0,405.805379936693,16.54354287553098,0.0012151371260767073,true
190,1995-09-22,256,3.0458711078146257,0.035185476446390446,0.9999999999999997,40.497716805035054,1.0000351098870721,0.007670784082080514,true
190,1995-09-22,291,3.1137696091917633,0.19938436652954586,0.9999999999999998,7.525580264584106,1.0,0.13171726866522987,false
190,1995-09-22,315,3.181668110568901,0.2345698429759363,0.9999999999999999,2.1284727377561374,1.0033282027314838,0.1373297739207576,false
211,1995-10-23,130,2.638480099551801,0.02643910003445127,1.0,150.0234013165176,8.120326466123421,0.0031252171314179542,true
211,1995-10-23,256,3.0458711078146257,0.02643910003445127,1.0000000000000002,19.209625906770714,1.3304392271852536,0.008809103257034729,true
211,1995-10-23,196,2.8421756036832133,0.05287820006890254,0.9999999999999998,30.523631588757944,1.0000142391095188,0.005589187493933307,true
211,1995-10-23,282,3.1137696091917633,0.07050426675853672,0.9999999999999998,8.003998490206952,1.0000000000000244,0.00742772220527282,true
232,1995-11-21,64,2.434784595420388,0.0,1.0,252.15084664751458,17.08032036522883,0.0002944315464037395,true
232,1995-11-21,259,3.0458711078146257,0.02768505115811063,1.0000000000000004,16.09283842219887,1.0000046984779443,0.00815209261009774,true
232,1995-11-21,201,2.8421756036832133,0.05075592712320282,0.9999999999999998,30.583830332380817,1.2003505643063583,0.006771214781445425,true
232,1995-11-21,269,3.0458711078146257,0.073826803088295,1.0,2.230224346149972,1.0000000003219318,0.022949983097883972,true
232,1995-11-21,178,2.7742771023060757,0.04152757673716594,0.9999999999999999,49.016759230496575,1.8581304212912335,0.006616700343357933,true
253,1995-12-21,46,2.3668860940432506,0.013842525579055315,0.9999999999999998,60.59358424592206,7.366800359781329,0.007862545452223776,true
253,1995-12-21,259,3.0458711078146257,0.02768505115811063,0.9999999999999997,12.939524622253247,1.0001392678082643,0.00815209261009774,true
253,1995-12-21,201,2.8421756036832133,0.05075592712320282,1.0000000000000002,28.825820118142683,1.0000012668027427,0.006771214781445425,true
253,1995-12-21,269,3.0458711078146257,0.073826803088295,1.0000000000000002,2.089758884212655,1.0,0.022949983097883972,true
274,1996-01-23,172,2.607702430913681,0.013842525579055315,1.0000000000000002,218.1142486599768,10.75895008162794,0.0009561467302288942,true
274,1996-01-23,364,3.031392437991474,0.02768505115811063,1.0000000000000002,12.542496094352899,1.000000125278764,0.019729704466543964,true
274,1996-01-23,375,3.031392437991474,0.07844097828131345,1.0,2.94478912973413,1.0,0.01741704368117627,true
274,1996-01-23,285,2.8430857681791215,0.05075592712320282,1.0,25.474261409895522,1.053285733819828,0.006121516266462162,true
295,1996-02-22,190,2.654779098366769,0.0,0.9999999999999999,115.94932960088089,6.862047041279808,0.0013965651603979213,true
295,1996-02-22,363,3.031392437991474,0.02307087596509219,1.0,10.608284630379186,1.0000000016703188,0.016621255970816144,true
295,1996-02-22,241,2.7489324332729455,0.04152757673716594,0.9999999999999998,41.15068608439906,1.5851888372178529,0.001622141223024872,true
295,1996-02-22,366,3.031392437991474,0.0369134015441475,1.0000000000000002,15.42000977125327,1.0000000478912747,0.01708573569856114,true
295,1996-02-22,263,2.7960091007260335,0.04614175193018438,1.0,33.08075750125292,1.0014399639067537,0.00601275710078783,true
295,1996-02-22,375,3.031392437991474,0.07844097828131345,1.0000000000000002,2.697768870978836,1.0,0.01741704368117627,true
316,1996-03-22,274,2.8430857681791215,0.0,1.0000000000000002,60.80201698097193,5.945512845045109,0.005848771102180735,true
316,1996-03-22,364,3.031392437991474,0.02768505115811063,1.0000000000000002,11.925244733468135,1.0000000063442187,0.0021139845148220606,true
316,1996-03-22,241,2.7489324332729455,0.04152757673716594,0.9999999999999999,40.83769727901257,1.4502486617296062,0.001622141223024872,true
337,1996-04-23,211,2.7018557658198574,0.0,1.0000000000000002,104.63341956657399,8.438271128479993,0.0017798825241597236,true
337,1996-04-23,364,3.031392437991474,0.02768505115811063,1.0,13.721757161982634,1.0201854081822528,0.0021139845148220606,true
337,1996-04-23,241,2.7489324332729455,0.04152757673716594,1.0,40.81807673977396,1.4348871384081892,0.001622141223024872,true
358,1996-05-22,232,2.7489324332729455,0.0,1.0,110.93857535910016,16.95577253755077,0.0013227302760806295,true
358,1996-05-22,362,3.031392437991474,0.01845670077207375,0.9999999999999998,13.54011650043115,1.0000000001021176,0.00763444870451452,false
358,1996-05-22,262,2.7960091007260335,0.04152757673716594,0.9999999999999999,31.507872037412366,1.1656816135830892,0.004244455858985792,true
379,1996-06-21,236,2.7489324332729455,0.01845670077207375,0.9999999999999999,139.71461648528017,6.9798079875752475,0.0006100324092321303,true
379,1996-06-21,362,3.031392437991474,0.01845670077207375,1.0000000000000002,14.140109951187418,1.0000000001190767,0.00763444870451452,false
379,1996-06-21,262,2.7960091007260335,0.04152757673716594,1.0000000000000002,30.192291607379527,1.729427562762317,0.004244455858985792,true
379,1996-06-21,366,3.031392437991474,0.0369134015441475,1.0000000000000002,15.149007042919783,1.8114775659868652,0.0109989979421257,true
379,1996-06-21,263,2.7960091007260335,0.04614175193018438,0.9999999999999999,28.028379025753672,1.0000681477176592,0.00601275710078783,true
400,1996-07-23,398,3.0784691054445625,0.08766932866735033,0.9999999999999999,2.2661957566288846,1.0,0.0080932953987658,false
400,1996-07-23,363,3.031392437991474,0.02307087596509219,0.9999999999999998,10.143259915071342,1.0000000006457712,0.0031758866578514245,false
421,1996-08-21,198,2.654779098366769,0.037013253482593635,1.0,64.4160500325408,9.314940634889263,0.0020557868230000106,true
421,1996-08-21,342,2.984315770538386,0.02313328342662102,1.0000000000000002,17.191474232805152,1.9897275012480884,0.0011676774562577577,true
421,1996-08-21,332,2.937239103085298,0.07402650696518727,1.0,10.176721158935091,1.0,0.01679121318894293,true
442,1996-09-20,232,2.7489324332729455,0.0,1.0,104.2700729836237,12.651646396675243,0.0014143881825750663,true
442,1996-09-20,363,3.031392437991474,0.02313328342662102,0.9999999999999999,10.012337722689516,1.0000000004003464,0.0031186882759749977,false
442,1996-09-20,332,2.937239103085298,0.07402650696518727,1.0000000000000002,10.200024918578976,1.0,0.01679121318894293,true
463,1996-10-21,232,2.7489324332729455,0.0,0.9999999999999998,116.70599381520042,10.475458259049507,0.0014143881825750663,true
463,1996-10-21,363,3.031392437991474,0.02313328342662102,1.0000000000000004,9.976387857614547,1.0,0.0031186882759749977,false
463,1996-10-21,332,2.937239103085298,0.07402650696518727,0.9999999999999998,10.234922526276543,1.0,0.01679121318894293,true
484,1996-11-19,211,2.7018557658198574,0.0,1.0,112.24910053210643,9.123585124658952,0.0004945528684441314,true
484,1996-11-19,342,2.984315770538386,0.02313328342662102,1.0,18.049029044872665,1.0000002003839172,0.0011676774562577577,true
484,1996-11-19,332,2.937239103085298,0.07402650696518727,1.0,10.1190256274146,1.0000000160614653,0.01679121318894293,true
505,1996-12-19,318,2.937239103085298,0.009253313370648409,1.0,58.80470883267894,2.5901645657020733,0.0020270135688925965,true
505,1996-12-19,332,2.937239103085298,0.07402650696518727,1.0,10.02344785234019,1.000000006542275,0.01679121318894293,true
505,1996-12-19,343,2.984315770538386,0.027759940111945224,1.0,16.141664522450533,1.0000015089610172,0.0027064828394844412,true
526,1997-01-21,295,2.8901624356322095,0.0,1.0,59.12390082381059,4.898047362670283,0.0022703401026074534,true
526,1997-01-21,343,2.984315770538386,0.027759940111945224,1.0,16.282926089054655,1.0000026488224796,0.0027064828394844412,true
526,1997-01-21,332,2.937239103085298,0.07402650696518727,1.0000000000000002,10.238095363150414,1.000000006347335,0.01679121318894293,true
547,1997-02-20,381,3.0784691054445625,0.009253313370648409,0.9999999999999999,14.929715347498659,1.9571716660748195,0.014643161185449838,false
547,1997-02-20,343,2.984315770538386,0.027759940111945224,1.0,17.12406722403219,1.0000049660297274,0.0027064828394844412,true
547,1997-02-20,332,2.937239103085298,0.07402650696518727,1.0,10.504697811389397,1.0,0.01679121318894293,true
568,1997-03-21,344,2.984315770538386,0.03238659679726943,1.0000000000000002,14.533546011384647,1.8152959167956189,0.0042969892757117765,true
568,1997-03-21,332,2.937239103085298,0.07402650696518727,1.0,10.800435776346967,1.0,0.01679121318894293,true
568,1997-03-21,343,2.984315770538386,0.027759940111945224,0.9999999999999998,18.87707590086359,1.000012122916596,0.0062540404126006765,true
589,1997-04-22,348,2.984315770538386,0.05089322353856625,0.9999999999999998,17.029539365222394,2.3060458721853747,0.013068112147663676,true
589,1997-04-22,343,2.984315770538386,0.027759940111945224,0.9999999999999998,21.334952833252775,1.0000138479979936,0.0062540404126006765,true
589,1997-04-22,332,2.937239103085298,0.07402650696518727,0.9999999999999999,13.227079134758368,1.0,0.011962759999081326,true
610,1997-05-21,316,2.937239103085298,0.0,1.0,64.04691926558911,6.960809063611264,0.0027034434598844884,true
610,1997-05-21,332,2.937239103085298,0.07402650696518727,1.0,13.7991220184307,1.000000029395993,0.011962759999081326,true
610,1997-05-21,365,3.031392437991474,0.03238659679726943,1.0000000000000002,19.228546002356236,1.0000006208018457,0.004634618906773654,true
631,1997-06-20,338,2.984315770538386,0.004626656685324204,1.0,90.66826583325876,7.6133399742327885,0.003438655288882617,true
631,1997-06-20,364,3.031392437991474,0.027759940111945224,0.9999999999999997,24.15352555281132,1.0000005653471358,0.0021746078634687607,true
631,1997-06-20,332,2.937239103085298,0.07402650696518727,0.9999999999999999,14.136914736562288,1.0,0.011962759999081326,true
652,1997-07-22,380,3.0784691054445625,0.004626656685324204,1.0,55.98191340154704,2.2196800609967364,0.002497543220735334,true
652,1997-07-22,332,2.937239103085298,0.07402650696518727,0.9999999999999999,14.554791515053049,1.0,0.011962759999081326,true
652,1997-07-22,364,3.031392437991474,0.027759940111945224,1.0000000000000002,26.22159795965838,1.0000014641118131,0.0021746078634687607,true
673,1997-08-20,362,3.0542291081011554,0.018506626741296817,0.9999999999999999,47.61830727053664,1.8915578386763197,0.0017467512595748106,true
673,1997-08-20,312,2.9089691051343003,0.07865316365051148,1.0,15.231084788446742,1.0019822864280847,0.013194164503476163,true
673,1997-08-20,343,3.0058091071122037,0.027759940111945224,0.9999999999999999,28.765325806449628,1.0000417828222867,0.0040074725352435905,true
694,1997-09-19,358,3.1037184350487355,0.0,0.9999999999999999,42.80843679567956,4.1602558150331825,0.004097730398724824,true
694,1997-09-19,241,2.7957316078394086,0.041639910167917835,1.0,50.26448291833476,2.5779142788272664,0.003577482485488115,true
694,1997-09-19,343,3.052387297180514,0.027759940111945224,0.9999999999999999,32.04950703963327,1.0000033487268425,0.0053693166870743235,true
694,1997-09-19,311,2.949725021444072,0.07402650696518727,0.9999999999999999,15.259764031506707,1.0000000193221095,0.0010969411786608675,true
715,1997-10-20,341,3.052387297180514,0.018506626741296817,1.0000000000000002,56.782384224439824,2.344330773990021,0.0019661752915366756,true
715,1997-10-20,311,2.949725021444072,0.07402650696518727,1.0,15.511024717344194,1.000000013305428,0.0010969411786608675,true
715,1997-10-20,343,3.052387297180514,0.027759940111945224,0.9999999999999998,34.3870185133,1.0197815477858152,0.0053693166870743235,true
736,1997-11-18,370,3.4310735519639963,0.05718158690048545,0.9999999999999998,6.975744412133738,2.483617416026935,0.012993651924538177,true
736,1997-11-18,333,3.289898909531641,0.08100724810902105,1.0000000000000004,1.3280608017214979,1.0,0.0619062809274199,true
757,1997-12-18,327,3.289898909531641,0.052416454658778325,0.9999999999999998,12.322649405731928,1.5981936827450003,0.012969502845027021,true
757,1997-12-18,333,3.289898909531641,0.08100724810902105,0.9999999999999998,1.4154494379478475,1.0,0.030746565625882603,true
778,1998-01-21,281,3.1487242670992854,0.033355925691949846,1.0,44.3855228302251,2.779326253089643,0.002825282773373407,true
778,1998-01-21,333,3.289898909531641,0.08100724810902105,1.0000000000000002,2.474265951016334,1.0,0.026024012383329544,true
799,1998-02-20,211,2.936962303450753,0.0,1.0000000000000002,145.29381025781433,13.402230992061067,0.00044938955673279324,true
799,1998-02-20,333,3.289898909531641,0.08100724810902105,0.9999999999999999,2.4890642573394173,1.0,0.026024012383329544,true
820,1998-03-23,232,3.00754962466693,0.0,1.0,153.75491532665202,15.743669352716713,0.0004927156299089114,true
820,1998-03-23,333,3.289898909531641,0.08100724810902105,0.9999999999999999,2.5310871344362442,1.0,0.026024012383329544,true
841,1998-04-22,211,2.936962303450753,0.0,0.9999999999999998,174.42689766700838,15.916278374033219,0.00044938955673279324,true
841,1998-04-22,333,3.289898909531641,0.08100724810902105,1.0000000000000002,2.5585744838651534,1.0,0.026024012383329544,true
862,1998-05-21,215,2.936962303450753,0.019060528966828482,1.0,109.31421130740229,5.075475707509531,0.0076791110734806866,true
862,1998-05-21,333,3.289898909531641,0.08100724810902105,1.0,2.56021875065505,1.0,0.026024012383329544,true
883,1998-06-22,264,3.078136945883108,0.052416454658778325,1.0,24.13532648666613,2.5653508395420577,0.009539837261837264,true
883,1998-06-22,333,3.289898909531641,0.08100724810902105,1.0,3.5864780428233214,1.0,0.026024012383329544,true
904,1998-07-22,235,3.00754962466693,0.014295396725121362,1.0000000000000004,152.47910811243705,6.989590599268762,0.0013946594593353203,true
904,1998-07-22,333,3.289898909531641,0.08100724810902105,1.0,3.5937960430749754,1.0,0.026024012383329544,true
925,1998-08-20,375,3.4310735519639963,0.08598886572320455,1.0,11.620479340025128,1.0,0.011387350422970725,true
946,1998-09-21,395,3.654886540940208,0.16420712085562936,0.9999999999999999,8.760523999469344,1.0515465698038005,0.0021682994104706426,true
946,1998-09-21,304,3.3384871076843785,0.09236650548129152,0.9999999999999998,15.306676565258023,1.0,0.006887410405494439,true
946,1998-09-21,252,3.1011875327425065,0.2052589010695367,0.9999999999999999,1.7492057727652748,1.0,0.11831316829327236,false
967,1998-10-20,346,3.504596369133503,0.09696989320122895,1.0000000000000002,14.660131031946662,1.0,0.0038963669192499384,true
967,1998-10-20,293,3.265813754537654,0.20471421898037223,1.0,4.479725141305503,1.0,0.1300982114723558,false
988,1998-11-18,274,3.265813754537654,0.0,0.9999999999999999,25.174084581876517,1.1618205764468466,0.00733267507709412,true
988,1998-11-18,304,3.3454079594029373,0.09696989320122895,1.0,16.41293620345304,1.0,0.01295812544646898,true
988,1998-11-18,293,3.265813754537654,0.20471421898037223,1.0,4.802654832132103,1.0,0.1300982114723558,false
1009,1998-12-18,256,3.2026342673605157,0.032323297733742984,0.9999999999999997,110.40358378984031,5.769917632741567,0.00540390366327523,true
1009,1998-12-18,304,3.357718997669046,0.09696989320122895,0.9999999999999999,16.838739376538605,1.0,0.012467392583215116,true
1009,1998-12-18,293,3.280176632514781,0.20471421898037223,1.0,5.097760825698892,1.0,0.12746815232968944,false
1030,1999-01-21,319,3.441371646613097,0.032323297733742984,0.9999999999999998,27.98958980837096,2.7659933806615955,0.010049518252970367,true
1030,1999-01-21,304,3.3650513382167895,0.09696989320122895,0.9999999999999999,17.179525772470683,1.0,0.014898659912656941,true
1030,1999-01-21,273,3.212410721424174,0.21548865155828656,1.0,1.9263197403647088,1.0,0.13972698520937402,false
1051,1999-02-22,255,3.228964807889316,0.021548865155828656,1.0,135.4564071078086,6.468002441628966,0.002472242293557319,true
1051,1999-02-22,283,3.3032158554774806,0.09696989320122895,1.0,16.77579488377299,1.0,0.019809770333029865,true
1051,1999-02-22,273,3.228964807889316,0.21548865155828656,1.0,1.9991247661775429,1.0,0.14530996340503996,false
1072,1999-03-23,277,3.3032158554774806,0.032323297733742984,1.0000000000000002,106.52249695475682,3.0839411938285193,0.0041686718273723465,true
1072,1999-03-23,283,3.3032158554774806,0.09696989320122895,1.0000000000000002,17.05056677612573,1.0,0.019809770333029865,true
1072,1999-03-23,252,3.154713760301151,0.21548865155828656,1.0,2.232688364012805,1.0,0.13513417001647077,false
1093,1999-04-22,232,3.154713760301151,0.0,1.0,141.98346119478205,9.756202103677987,0.0014352346587447329,true
1093,1999-04-22,283,3.3032158554774806,0.09696989320122895,1.0,15.952882279698407,1.0,0.019809770333029865,true
1093,1999-04-22,252,3.154713760301151,0.21548865155828656,0.9999999999999997,1.8855125688037595,1.0,0.15205371508403304,false
1114,1999-05-21,255,3.228964807889316,0.021548865155828656,0.9999999999999998,167.25962826066808,8.1010829568704,0.002472242293557319,true
1114,1999-05-21,283,3.3032158554774806,0.09696989320122895,1.0000000000000002,15.717400915967941,1.0,0.019809770333029865,true
1114,1999-05-21,272,3.228964807889316,0.20471421898037223,1.0,5.21643862145506,1.0,0.1390380388352966,false
1135,1999-06-22,214,3.080462712712986,0.032323297733742984,1.0,150.43745883435474,7.359501731061154,0.0036071285580874806,true
1135,1999-06-22,283,3.3032158554774806,0.09696989320122895,1.0000000000000002,15.250170831779455,1.0,0.019809770333029865,true
1135,1999-06-22,251,3.154713760301151,0.20471421898037223,1.0,4.085744339393498,1.0,0.14348124892779107,false
1156,1999-07-22,234,3.154713760301151,0.021548865155828656,1.0,231.5541329635571,11.506147722569269,0.002851422314589393,true
1156,1999-07-22,283,3.3032158554774806,0.09696989320122895,1.0,15.022769486090501,1.0,0.019809770333029865,true
1156,1999-07-22,251,3.154713760301151,0.20471421898037223,1.0,4.004701233618708,1.0,0.14348124892779107,false
1177,1999-08-20,236,3.154713760301151,0.04309773031165731,1.0000000000000002,120.23681529471763,4.540470398354399,0.008068910873850482,true
1177,1999-08-20,304,3.3774669030656455,0.09696989320122895,0.9999999999999998,18.4279110358613,1.0,0.01828207799039424,true
1177,1999-08-20,272,3.228964807889316,0.20471421898037223,0.9999999999999999,4.411987239069346,1.0,0.13216631426031858,false
1198,1999-09-21,261,3.228964807889316,0.08619546062331462,1.0,22.1379363843451,4.560816489498204,0.008514631678867034,true
1198,1999-09-21,304,3.3774669030656455,0.09696989320122895,1.0000000000000004,20.480407598841303,1.0,0.01828207799039424,true
1198,1999-09-21,272,3.228964807889316,0.20471421898037223,1.0,4.495136687100434,1.0,0.11804900531763293,false
1219,1999-10-20,240,3.154713760301151,0.08619546062331462,0.9999999999999998,28.58758337840768,1.6106094583846804,0.006199014944060602,true
1219,1999-10-20,325,3.4517179506538107,0.09696989320122895,1.0,22.16936663969702,1.0,0.007849020637482438,true
1219,1999-10-20,293,3.3032158554774806,0.20471421898037223,1.0,5.080698019610418,1.0,0.09672624602932199,false
1240,1999-11-18,191,3.006211665124821,0.010774432577914328,1.0,307.71793366023593,17.76454092585263,0.0023799240192846176,true
1240,1999-11-18,325,3.4517179506538107,0.09696989320122895,1.0,22.393947808865207,1.0,0.007849020637482438,true
1240,1999-11-18,293,3.3032158554774806,0.20471421898037223,1.0,5.016741350265685,1.0,0.09672624602932199,false
1261,1999-12-20,234,3.154713760301151,0.021548865155828656,1.0,259.6745042242131,12.511618905995267,0.002851422314589393,true
1261,1999-12-20,325,3.4517179506538107,0.09696989320122895,1.0,22.07234711735263,1.0,0.007849020637482438,true
1261,1999-12-20,293,3.3032158554774806,0.20471421898037223,1.0,4.836392664713024,1.0,0.09672624602932199,false
1282,2000-01-20,212,3.080462712712986,0.010774432577914328,0.9999999999999997,332.30681349159636,15.790416404115486,0.0027773635977102096,true
1282,2000-01-20,293,3.3032158554774806,0.20471421898037223,0.9999999999999999,4.695028296926429,1.0,0.09672624602932199,false
1282,2000-01-20,325,3.4517179506538107,0.09696989320122895,1.0,21.954191140652107,1.0,0.007849020637482438,true
1303,2000-02-18,260,3.228964807889316,0.0754210280454003,1.0,47.28464399337688,3.0828764718254233,0.0022651773312005953,true
1303,2000-02-18,325,3.4517179506538107,0.09696989320122895,0.9999999999999998,22.004403638135013,1.0,0.007849020637482438,true
1303,2000-02-18,314,3.3774669030656455,0.20471421898037223,1.0,5.331794813207637,1.0,0.09688530744226702,false
1324,2000-03-21,213,3.080462712712986,0.021548865155828656,0.9999999999999999,289.1481532331857,12.683138562885565,0.0016043723670667127,true
1324,2000-03-21,325,3.4517179506538107,0.09696989320122895,0.9999999999999997,22.310916296474446,1.0,0.007849020637482438,true
1324,2000-03-21,315,3.3774669030656455,0.21548865155828656,1.0,2.369805884178708,1.0,0.10747470776374266,false
1345,2000-04-19,277,3.3032158554774806,0.032323297733742984,0.9999999999999999,137.889166545503,4.347686679124969,0.0041686718273723465,true
1345,2000-04-19,315,3.3774669030656455,0.21548865155828656,0.9999999999999998,2.9374943729634713,1.0,0.10747470776374266,false
