Return,Return_Gross,Turnover
0.013719746948162359,0.014477914303339778,0.7581673551774192
0.02373078475940424,0.023842184682241196,0.11139992283695671
0.03061908410068787,0.03083460439292396,0.2155202922360885
0.031493770094618984,0.03171129456373678,0.21752446911779813
0.02595699978113411,0.02609044673644778,0.13344695531366904
0.025871169768658036,0.025879186070195237,0.008016301537199573
0.054843160229448025,0.0549612006672997,0.11804043785167517
0.008203220826180286,0.00829796909371483,0.09474826753454287
0.02622857937066191,0.026798976242469186,0.5703968718072754
0.000985856434953524,0.0012541294317487406,0.26827299679521666
0.03780081352119536,0.038506768378438805,0.7059548572434455
0.020545306403790452,0.020792639436871818,0.2473330330813674
0.0091038399925358,0.009130526299647723,0.02668630711192166
0.03542278830299184,0.03557744905489035,0.1546607518985162
0.013739740621861979,0.013836601671969762,0.09686105010778272
-0.0006001325668484848,-0.0002287094049038263,0.3714231619446584
0.045338556975178704,0.0456294739657932,0.2909169906144924
-0.01485928133045419,-0.014589664954267945,0.26961637618624534
-0.06653420538583345,-0.0664983956917986,0.035809694034836026
0.05678021565831588,0.057333741935127636,0.5535262768117503
0.016902820773857317,0.017063652104636784,0.1608313307794672
0.025732881170957966,0.025805477826250867,0.07259665529289927
0.046796705458168476,0.04686484379682199,0.0681383386535115
0.003156196047286061,0.0032108676632713884,0.05467161598532764
0.029371414055696238,0.029418701344142484,0.04728728844624701
0.047123686379422436,0.04723424188636627,0.11055550694383079
-0.0289681973684675,-0.028899007455673642,0.06918991279385883
-0.0384997301766771,-0.03836362624956735,0.1361039271097504
0.07426776334717772,0.07450230709104377,0.23454374386605167
0.03462104484559704,0.03464998942905795,0.028944583460904384
0.04354245423051081,0.043724193110919796,0.18173888040898323
0.003179365472210196,0.0032556374901493434,0.07627201793914769
0.02386229601758134,0.024145407372628824,0.28311135504748264
-0.0014629190237167567,-0.0013156294766176746,0.14728954709908199
-0.02395194533560749,-0.02389634419714326,0.05560113846423005
0.003374145640835652,0.004077064394769625,0.702918753933973
0.00811210271128219,0.00812752693182861,0.01542422054641921
0.0495495420034252,0.049711032543650946,0.16149054022574716
