Strategy,Ann_Return,Ann_Vol,Sharpe_rf0,Sharpe_rf2,Sharpe_rf4
1/N,0.1223819532218478,0.1700292327734588,0.7197700726257195,0.6021432406170888,0.48451640860845807
TC-MinVar,0.10731617933077495,0.12264126235085494,0.8750413790080075,0.7119641273829913,0.548886875757975
Nominal CVaR,0.10764065102923259,0.12230982582217262,0.8800654428674629,0.7165462826891287,0.5530271225107944
Finite-Regime CVaR,0.1114639353717177,0.12376083419601647,0.9006398195020039,0.7390378059900122,0.5774357924780207
Robust SIP,0.11278384864407674,0.13945677105509008,0.8087369855962272,0.66532336825312,0.5219097509100128
