Target,Ann_Return,Ann_Vol,Sharpe,Max_DD,Turnover,Final_Wealth,Mean_ENA,Mean_Active_States,Mean_Worst_CVaR,N_Windows
none,0.10839813186299979,0.13999199724085828,0.774316632375058,-0.4357048628014044,0.061162317844895765,21.80254774010605,7.2726242450517455,3.7904509283819627,4.464261089391377,377
Q25,0.10908358371235441,0.14019162489121823,0.7781034266276454,-0.43570486280140464,0.06378688909685022,22.252775860253955,7.285505619752964,3.7984084880636604,4.466253171013017,377
Q50,0.11278384864407728,0.13945677105509022,0.8087369855962303,-0.41687745041334,0.09478852330762708,25.04042479150443,7.363904066698649,3.6551724137931036,4.525328086253514,377
Q75,0.1306974881968595,0.1454046599497218,0.898853504709218,-0.39488951327445254,0.13641775140394663,42.6207271271693,7.360725029474732,3.151193633952255,4.937616363531477,377
