Grid_Size,Avg_Runtime,Avg_Active_States,Avg_Worst_CVaR,L1_Distance
11,0.1898328185081482,3.2,4.459279359743872,0.12133986080813146
21,0.25787914991378785,3.35,4.522831176022386,0.06271149092807579
41,0.510450792312622,3.75,4.532557707636851,0.010749920382347112
81,0.8229981780052185,3.7,4.533908164586611,0.0
